Claim Number,AGE, INCOME ,MARITAL_STATUS,EDUCATION,MVR_POINTS,CAR_AGE,LOCATION, OLD_CLAIM ,PREMIUM
855,42," $49,120.00 ",No,Bachelors,2,9,Highly Urban/ Urban," $1,775.00 ",#REF!
856,38," $26,074.00 ",Yes,High School,3,1,Highly Urban/ Urban, $-   ,#REF!
857,51, $-   ,Yes,High School,0,5,Highly Urban/ Urban," $3,029.00 ",#REF!
858,57," $18,306.00 ",Yes,Masters,0,11,Highly Rural/ Rural, $-   ,#REF!
859,53," $17,424.00 ",Yes,Bachelors,0,1,Highly Rural/ Rural, $-   ,#REF!
860,40," $52,475.00 ",No,Masters,3,16,Highly Urban/ Urban, $-   ,#REF!
861,40," $157,263.00 ",No,Masters,1,18,Highly Urban/ Urban, $-   ,#REF!
862,62," $103,109.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
863,47," $92,214.00 ",No,Bachelors,4,7,Highly Urban/ Urban," $5,184.00 ",#REF!
864,46," $63,553.00 ",Yes,Masters,0,14,Highly Urban/ Urban," $37,876.00 ",#REF!
865,45, $-   ,Yes,High School,6,9,Highly Urban/ Urban," $9,063.00 ",#REF!
866,39," $98,997.00 ",No,High School,0,9,Highly Urban/ Urban, $-   ,#REF!
867,35," $27,446.00 ",Yes,High School,1,8,Highly Urban/ Urban, $-   ,#REF!
868,45," $37,846.00 ",No,<High School,1,1,Highly Rural/ Rural, $-   ,#REF!
869,49," $75,580.00 ",Yes,Masters,1,14,Highly Urban/ Urban, $-   ,#REF!
870,35," $8,276.00 ",Yes,High School,4,7,Highly Urban/ Urban, $-   ,#REF!
871,54," $130,241.00 ",Yes,PhD,3,16,Highly Urban/ Urban, $-   ,#REF!
872,42, $-   ,Yes,Bachelors,0,11,Highly Rural/ Rural, $-   ,#REF!
873,50," $104,831.00 ",No,Masters,3,16,Highly Urban/ Urban," $6,657.00 ",#REF!
874,56, $-   ,Yes,Bachelors,1,13,Highly Rural/ Rural, $-   ,#REF!
875,41," $95,076.00 ",No,Bachelors,0,8,Highly Urban/ Urban, $-   ,#REF!
876,42," $109,098.00 ",Yes,High School,0,4,Highly Urban/ Urban," $1,015.00 ",#REF!
877,48," $105,299.00 ",No,High School,2,1,Highly Urban/ Urban," $6,936.00 ",#REF!
878,27," $166,855.00 ",Yes,Bachelors,3,6,Highly Rural/ Rural, $-   ,#REF!
879,21, $-   ,No,High School,7,1,Highly Rural/ Rural," $3,231.00 ",#REF!
880,41, $-   ,Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
881,49, $-   ,No,PhD,2,19,Highly Urban/ Urban," $7,665.00 ",#REF!
882,25," $78,062.00 ",No,High School,0,12,Highly Urban/ Urban, $-   ,#REF!
883,42," $61,322.00 ",No,High School,2,1,Highly Rural/ Rural, $-   ,#REF!
884,42," $97,054.00 ",No,Masters,0,17,Highly Urban/ Urban, $-   ,#REF!
885,42," $58,453.00 ",No,Bachelors,1,9,Highly Urban/ Urban, $-   ,#REF!
886,41," $175,783.00 ",No,PhD,4,17,Highly Urban/ Urban," $4,082.00 ",#REF!
887,42," $63,180.00 ",Yes,Masters,1,12,Highly Urban/ Urban, $-   ,#REF!
888,41," $37,523.00 ",Yes,High School,3,11,Highly Urban/ Urban," $3,134.00 ",#REF!
889,37," $73,897.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban," $34,941.00 ",#REF!
890,30, $-   ,Yes,High School,0,7,Highly Urban/ Urban, $754.00 ,#REF!
891,52," $135,116.00 ",Yes,PhD,1,13,Highly Urban/ Urban, $-   ,#REF!
892,50," $36,605.00 ",Yes,High School,4,1,Highly Urban/ Urban," $46,625.00 ",#REF!
893,32," $39,097.00 ",Yes,<High School,1,3,Highly Urban/ Urban," $36,000.00 ",#REF!
894,50," $32,234.00 ",No,High School,1,12,Highly Rural/ Rural, $-   ,#REF!
895,27, $-   ,Yes,<High School,7,4,Highly Urban/ Urban," $35,165.00 ",#REF!
896,36," $121,391.00 ",No,Bachelors,3,8,Highly Urban/ Urban," $2,602.00 ",#REF!
897,46, $-   ,Yes,<High School,0,6,Highly Rural/ Rural, $-   ,#REF!
898,36," $30,071.00 ",Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
899,49," $163,636.00 ",No,Masters,3,20,Highly Urban/ Urban, $-   ,#REF!
900,42," $68,171.00 ",No,Bachelors,2,10,Highly Urban/ Urban, $-   ,#REF!
901,63," $32,824.00 ",Yes,High School,4,4,Highly Urban/ Urban, $-   ,#REF!
902,64, $-   ,Yes,High School,9,8,Highly Urban/ Urban," $23,432.00 ",#REF!
903,35, $-   ,Yes,Bachelors,0,13,Highly Urban/ Urban," $4,477.00 ",#REF!
904,47," $78,119.00 ",Yes,Masters,0,18,Highly Urban/ Urban, $-   ,#REF!
905,57," $99,985.00 ",Yes,Masters,5,20,Highly Urban/ Urban," $6,739.00 ",#REF!
906,29, $-   ,No,High School,5,6,Highly Urban/ Urban," $52,445.00 ",#REF!
907,46," $107,006.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
908,37," $66,376.00 ",Yes,High School,5,5,Highly Urban/ Urban, $-   ,#REF!
909,56, $-   ,No,<High School,2,8,Highly Urban/ Urban," $10,612.00 ",#REF!
910,61," $52,529.00 ",Yes,Masters,0,11,Highly Rural/ Rural, $-   ,#REF!
911,39," $92,000.00 ",Yes,Bachelors,4,1,Highly Urban/ Urban," $8,091.00 ",#REF!
912,42," $130,882.00 ",Yes,High School,7,9,Highly Urban/ Urban," $42,820.00 ",#REF!
913,29," $36,708.00 ",No,High School,8,9,Highly Urban/ Urban," $5,618.00 ",#REF!
914,51," $65,506.00 ",No,High School,0,4,Highly Rural/ Rural, $-   ,#REF!
915,49," $89,547.00 ",No,Masters,0,19,Highly Urban/ Urban, $-   ,#REF!
916,45," $79,720.00 ",Yes,Masters,1,14,Highly Urban/ Urban, $-   ,#REF!
917,58," $131,658.00 ",Yes,Masters,0,12,Highly Urban/ Urban, $-   ,#REF!
918,50," $73,668.00 ",Yes,Masters,6,11,Highly Urban/ Urban, $-   ,#REF!
919,35," $5,628.00 ",Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
920,39," $32,188.00 ",Yes,High School,4,1,Highly Urban/ Urban," $5,399.00 ",#REF!
921,37," $97,671.00 ",Yes,Bachelors,5,7,Highly Urban/ Urban," $1,371.00 ",#REF!
922,55," $43,293.00 ",Yes,High School,3,6,Highly Rural/ Rural," $23,756.00 ",#REF!
923,55," $83,090.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   ,#REF!
924,54," $27,546.00 ",Yes,High School,3,5,Highly Urban/ Urban, $-   ,#REF!
925,42," $49,120.00 ",No,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
926,45," $59,197.00 ",No,Masters,3,8,Highly Urban/ Urban," $4,940.00 ",#REF!
927,44," $188,428.00 ",Yes,PhD,2,14,Highly Urban/ Urban, $-   ,#REF!
928,45, $-   ,No,Masters,4,20,Highly Urban/ Urban," $52,068.00 ",#REF!
929,47," $64,183.00 ",Yes,Bachelors,1,7,Highly Urban/ Urban, $-   ,#REF!
930,39," $92,117.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
931,46," $154,985.00 ",No,PhD,4,10,Highly Urban/ Urban, $-   ,#REF!
932,48," $35,398.00 ",No,High School,2,9,Highly Rural/ Rural, $-   ,#REF!
933,47," $23,596.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
934,41," $29,622.00 ",Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
935,57," $75,468.00 ",Yes,Masters,0,21,Highly Urban/ Urban, $-   ,#REF!
936,29," $79,059.00 ",Yes,Masters,0,8,Highly Urban/ Urban," $5,903.00 ",#REF!
937,37," $55,242.00 ",No,High School,0,1,Highly Urban/ Urban," $33,030.00 ",#REF!
938,44," $98,743.00 ",No,Masters,5,18,Highly Urban/ Urban," $5,632.00 ",#REF!
939,33," $67,171.00 ",Yes,Masters,1,15,Highly Urban/ Urban, $-   ,#REF!
940,55, $-   ,Yes,High School,3,10,Highly Urban/ Urban, $-   ,#REF!
941,50," $77,214.00 ",No,Bachelors,0,7,Highly Urban/ Urban," $2,657.00 ",#REF!
942,45," $28,731.00 ",No,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
943,52," $16,253.00 ",No,<High School,3,7,Highly Urban/ Urban, $969.00 ,#REF!
944,32," $109,683.00 ",No,Bachelors,0,9,Highly Urban/ Urban," $30,571.00 ",#REF!
945,39," $93,925.00 ",No,Masters,0,16,Highly Urban/ Urban, $-   ,#REF!
946,45," $51,655.00 ",No,High School,1,6,Highly Rural/ Rural, $-   ,#REF!
947,38," $54,597.00 ",Yes,High School,1,13,Highly Urban/ Urban, $-   ,#REF!
948,39," $48,738.00 ",Yes,Bachelors,0,1,Highly Rural/ Rural," $5,115.00 ",#REF!
949,28," $10,032.00 ",Yes,Bachelors,0,12,Highly Urban/ Urban," $12,269.00 ",#REF!
950,26," $44,386.00 ",Yes,High School,3,5,Highly Urban/ Urban," $7,611.00 ",#REF!
951,41," $128,895.00 ",Yes,Masters,4,9,Highly Urban/ Urban, $-   ,#REF!
952,59," $109,210.00 ",Yes,Masters,6,18,Highly Urban/ Urban," $6,120.00 ",#REF!
953,59," $38,141.00 ",No,High School,5,6,Highly Urban/ Urban," $9,575.00 ",#REF!
954,61," $9,902.00 ",No,PhD,4,10,Highly Urban/ Urban," $3,175.00 ",#REF!
955,52," $99,251.00 ",Yes,Masters,1,10,Highly Urban/ Urban, $-   ,#REF!
956,29," $45,299.00 ",Yes,High School,4,1,Highly Urban/ Urban," $5,289.00 ",#REF!
957,48," $49,251.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
958,32," $28,430.00 ",No,High School,4,1,Highly Urban/ Urban," $39,168.00 ",#REF!
959,53," $21,190.00 ",Yes,Masters,5,1,Highly Urban/ Urban," $7,558.00 ",#REF!
960,50," $63,910.00 ",Yes,Masters,1,15,Highly Urban/ Urban," $1,946.00 ",#REF!
961,35," $98,918.00 ",No,Bachelors,1,9,Highly Urban/ Urban, $-   ,#REF!
962,34," $38,307.00 ",Yes,High School,10,1,Highly Urban/ Urban," $17,857.00 ",#REF!
963,46," $88,632.00 ",Yes,High School,2,9,Highly Urban/ Urban," $7,864.00 ",#REF!
964,49," $45,689.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
965,54," $112,804.00 ",Yes,Masters,0,9,Highly Urban/ Urban, $-   ,#REF!
966,46," $88,359.00 ",Yes,Masters,0,1,Highly Urban/ Urban, $-   ,#REF!
967,38," $114,212.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
968,56," $76,638.00 ",No,High School,10,5,Highly Urban/ Urban," $24,930.00 ",#REF!
969,42," $64,019.00 ",Yes,PhD,1,13,Highly Urban/ Urban," $3,558.00 ",#REF!
970,31," $53,633.00 ",No,High School,9,1,Highly Urban/ Urban," $4,646.00 ",#REF!
971,58," $146,202.00 ",Yes,Bachelors,0,12,Highly Urban/ Urban," $4,716.00 ",#REF!
972,42," $16,716.00 ",No,High School,1,6,Highly Rural/ Rural, $-   ,#REF!
973,36, $-   ,No,High School,7,5,Highly Urban/ Urban," $9,925.00 ",#REF!
974,34," $57,244.00 ",No,Bachelors,0,6,Highly Urban/ Urban, $-   ,#REF!
975,40," $48,187.00 ",Yes,High School,3,7,Highly Urban/ Urban," $30,944.00 ",#REF!
976,50," $28,299.00 ",Yes,Bachelors,2,11,Highly Urban/ Urban, $-   ,#REF!
977,48," $90,623.00 ",No,Masters,1,12,Highly Urban/ Urban, $-   ,#REF!
978,50," $81,150.00 ",No,Masters,2,20,Highly Urban/ Urban, $-   ,#REF!
979,38," $38,921.00 ",Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
980,29," $101,767.00 ",Yes,High School,1,9,Highly Urban/ Urban," $25,433.00 ",#REF!
981,40," $23,057.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
982,53," $332,339.00 ",Yes,PhD,1,17,Highly Urban/ Urban," $3,019.00 ",#REF!
983,52," $81,555.00 ",No,Masters,0,16,Highly Urban/ Urban, $-   ,#REF!
984,37," $9,664.00 ",Yes,Masters,2,1,Highly Urban/ Urban," $5,476.00 ",#REF!
985,33," $28,395.00 ",Yes,High School,2,1,Highly Urban/ Urban," $20,060.00 ",#REF!
986,41, $-   ,No,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
987,45," $22,860.00 ",No,<High School,1,1,Highly Rural/ Rural," $3,118.00 ",#REF!
988,49," $82,130.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
989,36," $21,926.00 ",Yes,Bachelors,6,1,Highly Urban/ Urban," $7,166.00 ",#REF!
990,48," $19,393.00 ",No,Bachelors,1,8,Highly Rural/ Rural, $-   ,#REF!
991,39," $69,464.00 ",Yes,Masters,4,15,Highly Urban/ Urban," $7,940.00 ",#REF!
992,35," $95,536.00 ",No,Masters,2,11,Highly Urban/ Urban, $-   ,#REF!
993,37," $24,672.00 ",No,High School,1,10,Highly Rural/ Rural, $565.00 ,#REF!
994,40," $66,788.00 ",Yes,Masters,1,12,Highly Urban/ Urban, $-   ,#REF!
995,42," $20,586.00 ",Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
996,54," $15,956.00 ",No,High School,0,6,Highly Urban/ Urban, $-   ,#REF!
997,47," $64,759.00 ",No,Masters,2,13,Highly Urban/ Urban, $-   ,#REF!
998,49," $99,100.00 ",Yes,Masters,0,15,Highly Rural/ Rural, $-   ,#REF!
999,40, $-   ,No,Masters,3,18,Highly Urban/ Urban, $-   ,#REF!
1000,53, $-   ,No,PhD,0,10,Highly Rural/ Rural, $-   ,#REF!
1001,45," $40,368.00 ",Yes,Bachelors,1,8,Highly Rural/ Rural, $-   ,#REF!
1002,42," $102,313.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   ,#REF!
1003,44," $53,660.00 ",Yes,Bachelors,4,9,Highly Urban/ Urban," $3,783.00 ",#REF!
1004,48," $37,886.00 ",Yes,<High School,0,1,Highly Urban/ Urban," $1,686.00 ",#REF!
1005,52," $77,113.00 ",No,High School,1,5,Highly Urban/ Urban," $3,176.00 ",#REF!
1006,49," $33,303.00 ",Yes,High School,3,7,Highly Urban/ Urban, $-   ,#REF!
1007,21, $-   ,Yes,High School,0,5,Highly Rural/ Rural," $6,485.00 ",#REF!
1008,51," $12,524.00 ",Yes,<High School,1,1,Highly Urban/ Urban, $-   ,#REF!
1009,46," $74,607.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
1010,44," $35,574.00 ",No,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
1011,43," $85,358.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1012,41," $35,203.00 ",No,<High School,0,5,Highly Urban/ Urban," $2,988.00 ",#REF!
1013,45," $75,527.00 ",No,Bachelors,1,5,Highly Urban/ Urban," $2,611.00 ",#REF!
1014,61," $46,161.00 ",Yes,Bachelors,3,9,Highly Urban/ Urban," $25,313.00 ",#REF!
1015,55," $60,745.00 ",Yes,Bachelors,0,14,Highly Urban/ Urban, $-   ,#REF!
1016,48," $15,506.00 ",Yes,Masters,2,18,Highly Urban/ Urban, $-   ,#REF!
1017,48," $38,329.00 ",No,Masters,3,12,Highly Urban/ Urban, $-   ,#REF!
1018,63," $52,613.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban," $7,649.00 ",#REF!
1019,53," $107,636.00 ",Yes,Bachelors,0,1,Highly Urban/ Urban, $-   ,#REF!
1020,40," $17,107.00 ",No,High School,4,6,Highly Urban/ Urban," $7,247.00 ",#REF!
1021,52," $140,534.00 ",No,Masters,0,7,Highly Urban/ Urban, $-   ,#REF!
1022,47," $39,837.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1023,47," $61,407.00 ",No,Bachelors,2,5,Highly Urban/ Urban, $-   ,#REF!
1024,31," $48,317.00 ",Yes,High School,1,1,Highly Urban/ Urban," $26,686.00 ",#REF!
1025,67," $140,500.00 ",Yes,PhD,3,1,Highly Urban/ Urban," $6,088.00 ",#REF!
1026,48," $198,719.00 ",Yes,PhD,1,13,Highly Urban/ Urban, $-   ,#REF!
1027,40, $-   ,No,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1028,55," $62,781.00 ",Yes,Bachelors,2,15,Highly Urban/ Urban, $-   ,#REF!
1029,37," $30,058.00 ",No,Bachelors,2,6,Highly Urban/ Urban," $7,890.00 ",#REF!
1030,58," $71,101.00 ",Yes,<High School,6,5,Highly Rural/ Rural," $43,052.00 ",#REF!
1031,48," $133,282.00 ",No,PhD,2,19,Highly Urban/ Urban, $-   ,#REF!
1032,34, $-   ,No,<High School,3,5,Highly Urban/ Urban," $7,575.00 ",#REF!
1033,31," $24,323.00 ",Yes,<High School,5,1,Highly Urban/ Urban," $3,846.00 ",#REF!
1034,46," $82,398.00 ",Yes,Bachelors,3,15,Highly Urban/ Urban, $-   ,#REF!
1035,37," $95,502.00 ",No,Bachelors,0,11,Highly Urban/ Urban," $1,681.00 ",#REF!
1036,37," $45,426.00 ",Yes,<High School,4,1,Highly Urban/ Urban," $5,030.00 ",#REF!
1037,49," $33,303.00 ",Yes,High School,0,7,Highly Urban/ Urban," $5,393.00 ",#REF!
1038,29," $54,310.00 ",No,<High School,5,6,Highly Urban/ Urban," $5,419.00 ",#REF!
1039,51," $81,246.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
1040,43," $57,821.00 ",Yes,Bachelors,1,9,Highly Urban/ Urban, $-   ,#REF!
1041,39," $11,598.00 ",Yes,Bachelors,0,10,Highly Rural/ Rural, $-   ,#REF!
1042,54," $63,027.00 ",No,Masters,0,15,Highly Urban/ Urban," $6,927.00 ",#REF!
1043,45, $-   ,No,Bachelors,7,8,Highly Urban/ Urban, $-   ,#REF!
1044,37," $4,319.00 ",Yes,High School,3,1,Highly Urban/ Urban, $-   ,#REF!
1045,47," $31,096.00 ",Yes,<High School,1,4,Highly Urban/ Urban, $-   ,#REF!
1046,39," $152,271.00 ",No,PhD,1,18,Highly Urban/ Urban, $-   ,#REF!
1047,39," $24,628.00 ",Yes,High School,3,10,Highly Urban/ Urban," $2,415.00 ",#REF!
1048,29," $45,114.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1049,39," $22,348.00 ",No,High School,0,1,Highly Urban/ Urban," $5,484.00 ",#REF!
1050,44," $83,682.00 ",Yes,Masters,0,13,Highly Urban/ Urban," $3,655.00 ",#REF!
1051,50," $64,934.00 ",Yes,Bachelors,3,6,Highly Urban/ Urban," $1,678.00 ",#REF!
1052,36," $67,036.00 ",Yes,Masters,1,19,Highly Urban/ Urban," $3,777.00 ",#REF!
1053,45," $73,867.00 ",Yes,Bachelors,6,10,Highly Urban/ Urban," $1,300.00 ",#REF!
1054,58," $6,657.00 ",Yes,<High School,4,7,Highly Urban/ Urban," $37,285.00 ",#REF!
1055,35," $72,167.00 ",No,PhD,7,13,Highly Urban/ Urban," $7,276.00 ",#REF!
1056,46," $130,464.00 ",No,High School,4,1,Highly Urban/ Urban," $11,728.00 ",#REF!
1057,54," $144,348.00 ",Yes,Masters,1,14,Highly Urban/ Urban, $-   ,#REF!
1058,52, $605.00 ,No,High School,0,5,Highly Rural/ Rural, $-   ,#REF!
1059,26," $73,655.00 ",No,Bachelors,5,7,Highly Urban/ Urban," $7,303.00 ",#REF!
1060,29," $36,324.00 ",No,High School,0,9,Highly Rural/ Rural, $-   ,#REF!
1061,47," $14,632.00 ",Yes,Bachelors,2,14,Highly Urban/ Urban," $2,988.00 ",#REF!
1062,48," $108,878.00 ",Yes,PhD,0,13,Highly Urban/ Urban," $5,782.00 ",#REF!
1063,39," $24,492.00 ",No,High School,2,8,Highly Rural/ Rural, $-   ,#REF!
1064,45," $64,665.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
1065,38," $58,833.00 ",Yes,Bachelors,6,10,Highly Urban/ Urban," $8,403.00 ",#REF!
1066,51," $35,024.00 ",Yes,<High School,0,6,Highly Rural/ Rural, $-   ,#REF!
1067,36," $16,950.00 ",No,<High School,1,4,Highly Rural/ Rural, $-   ,#REF!
1068,30," $10,678.00 ",No,<High School,8,7,Highly Urban/ Urban," $7,228.00 ",#REF!
1069,44," $57,267.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1070,24," $13,003.00 ",Yes,High School,4,1,Highly Urban/ Urban," $3,230.00 ",#REF!
1071,38," $145,073.00 ",Yes,PhD,0,12,Highly Urban/ Urban, $-   ,#REF!
1072,49," $70,590.00 ",Yes,Bachelors,3,13,Highly Urban/ Urban, $-   ,#REF!
1073,32," $21,400.00 ",No,<High School,5,1,Highly Urban/ Urban," $6,373.00 ",#REF!
1074,40," $4,344.00 ",Yes,<High School,5,3,Highly Urban/ Urban," $3,226.00 ",#REF!
1075,50," $126,896.00 ",Yes,PhD,2,16,Highly Urban/ Urban, $-   ,#REF!
1076,22," $5,442.00 ",Yes,Bachelors,6,1,Highly Urban/ Urban," $30,922.00 ",#REF!
1077,38," $53,532.00 ",No,<High School,4,4,Highly Urban/ Urban," $6,697.00 ",#REF!
1078,42," $82,608.00 ",No,Bachelors,2,1,Highly Urban/ Urban, $-   ,#REF!
1079,49," $13,148.00 ",No,<High School,5,8,Highly Urban/ Urban, $-   ,#REF!
1080,27," $37,130.00 ",No,<High School,1,1,Highly Urban/ Urban," $2,616.00 ",#REF!
1081,62," $11,668.00 ",No,Bachelors,0,3,Highly Rural/ Rural, $-   ,#REF!
1082,45," $5,306.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1083,44," $45,152.00 ",Yes,High School,6,1,Highly Urban/ Urban," $18,289.00 ",#REF!
1084,30," $26,226.00 ",Yes,High School,0,1,Highly Rural/ Rural," $5,833.00 ",#REF!
1085,38," $149,453.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban," $5,040.00 ",#REF!
1086,38," $30,735.00 ",Yes,<High School,2,4,Highly Rural/ Rural, $-   ,#REF!
1087,36," $36,990.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
1088,34," $147,684.00 ",Yes,PhD,0,8,Highly Urban/ Urban, $-   ,#REF!
1089,41," $55,138.00 ",No,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
1090,52," $23,406.00 ",No,<High School,0,8,Highly Urban/ Urban, $-   ,#REF!
1091,42," $82,660.00 ",No,Masters,0,19,Highly Urban/ Urban, $-   ,#REF!
1092,46," $125,379.00 ",Yes,Masters,2,17,Highly Urban/ Urban, $-   ,#REF!
1093,65, $-   ,Yes,High School,0,6,Highly Urban/ Urban," $37,129.00 ",#REF!
1094,59," $137,279.00 ",Yes,Masters,3,19,Highly Urban/ Urban," $9,849.00 ",#REF!
1095,32," $52,102.00 ",Yes,High School,2,1,Highly Urban/ Urban," $7,476.00 ",#REF!
1096,47," $57,607.00 ",No,<High School,5,1,Highly Rural/ Rural," $8,917.00 ",#REF!
1097,35, $-   ,Yes,High School,0,1,Highly Urban/ Urban," $7,160.00 ",#REF!
1098,51," $65,979.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1099,45," $79,941.00 ",Yes,Masters,0,15,Highly Urban/ Urban," $1,826.00 ",#REF!
1100,41, $-   ,Yes,Bachelors,0,5,Highly Rural/ Rural, $-   ,#REF!
1101,51," $76,916.00 ",Yes,Masters,0,5,Highly Urban/ Urban, $-   ,#REF!
1102,43," $39,140.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
1103,36," $39,400.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
1104,37, $-   ,Yes,Bachelors,1,6,Highly Urban/ Urban, $982.00 ,#REF!
1105,44, $-   ,Yes,High School,1,8,Highly Rural/ Rural, $-   ,#REF!
1106,53," $117,854.00 ",No,Masters,0,1,Highly Rural/ Rural, $-   ,#REF!
1107,47, $-   ,Yes,Masters,0,18,Highly Urban/ Urban," $8,752.00 ",#REF!
1108,46," $37,360.00 ",No,Masters,1,16,Highly Rural/ Rural, $-   ,#REF!
1109,37," $102,604.00 ",Yes,Bachelors,2,1,Highly Urban/ Urban," $5,222.00 ",#REF!
1110,56," $118,666.00 ",Yes,Bachelors,0,9,Highly Rural/ Rural, $-   ,#REF!
1111,53," $12,336.00 ",No,PhD,5,10,Highly Urban/ Urban," $2,367.00 ",#REF!
1112,26," $50,402.00 ",Yes,High School,0,1,Highly Rural/ Rural," $7,567.00 ",#REF!
1113,40," $30,120.00 ",No,<High School,0,4,Highly Rural/ Rural," $14,646.00 ",#REF!
1114,52," $64,531.00 ",No,Bachelors,2,16,Highly Urban/ Urban," $5,524.00 ",#REF!
1115,50," $17,557.00 ",Yes,<High School,0,9,Highly Urban/ Urban, $-   ,#REF!
1116,37," $89,343.00 ",No,Bachelors,0,8,Highly Urban/ Urban," $6,265.00 ",#REF!
1117,43," $63,612.00 ",Yes,High School,1,1,Highly Rural/ Rural, $-   ,#REF!
1118,47," $63,752.00 ",No,Bachelors,0,1,Highly Urban/ Urban, $-   ,#REF!
1119,41," $17,996.00 ",No,High School,1,6,Highly Urban/ Urban," $1,391.00 ",#REF!
1120,51," $102,410.00 ",No,Masters,0,14,Highly Urban/ Urban, $-   ,#REF!
1121,39," $70,673.00 ",Yes,High School,0,9,Highly Rural/ Rural, $-   ,#REF!
1122,48, $-   ,No,High School,4,1,Highly Urban/ Urban, $-   ,#REF!
1123,34," $55,229.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban, $-   ,#REF!
1124,58," $77,886.00 ",Yes,Bachelors,8,8,Highly Urban/ Urban," $6,138.00 ",#REF!
1125,34," $59,972.00 ",No,Bachelors,3,7,Highly Urban/ Urban, $-   ,#REF!
1126,43," $39,273.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
1127,37," $114,636.00 ",Yes,Bachelors,2,12,Highly Urban/ Urban, $-   ,#REF!
1128,41," $27,907.00 ",No,High School,4,6,Highly Rural/ Rural, $-   ,#REF!
1129,40," $12,339.00 ",Yes,Masters,5,15,Highly Urban/ Urban," $3,816.00 ",#REF!
1130,43," $97,610.00 ",Yes,Masters,1,15,Highly Urban/ Urban, $-   ,#REF!
1131,30," $78,213.00 ",Yes,<High School,3,3,Highly Rural/ Rural, $-   ,#REF!
1132,42," $22,019.00 ",Yes,High School,0,9,Highly Urban/ Urban," $1,738.00 ",#REF!
1133,41," $79,648.00 ",No,Masters,3,14,Highly Urban/ Urban, $-   ,#REF!
1134,47," $69,616.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
1135,29," $26,413.00 ",Yes,High School,1,1,Highly Urban/ Urban, $-   ,#REF!
1136,38," $31,615.00 ",Yes,<High School,0,1,Highly Urban/ Urban," $4,843.00 ",#REF!
1137,62," $34,033.00 ",No,High School,7,1,Highly Urban/ Urban," $4,821.00 ",#REF!
1138,41," $95,554.00 ",No,Bachelors,0,7,Highly Urban/ Urban," $3,220.00 ",#REF!
1139,47, $-   ,No,Bachelors,0,14,Highly Urban/ Urban, $-   ,#REF!
1140,28," $23,427.00 ",Yes,<High School,6,1,Highly Urban/ Urban," $17,308.00 ",#REF!
1141,30," $134,792.00 ",No,Bachelors,3,9,Highly Urban/ Urban, $-   ,#REF!
1142,49," $4,542.00 ",Yes,Bachelors,0,5,Highly Urban/ Urban, $-   ,#REF!
